id,igra_id,ocena,komentar,datum_ocene
59,24,8,"Zelo dober gameplay, a manjka globine",2024-03-01
60,24,7,"Igra ima potencial, a je hroščata",2024-10-14
61,24,9,Epsko doživetje – priporočam!,2024-10-08
62,24,6,"Igra ima potencial, a je hroščata",2024-02-25
63,25,7,"Temna, a zelo zadovoljiva izkušnja",2024-02-19
64,26,9,Pogrešam boljšo optimizacijo,2024-05-14
65,26,10,"Noro dobra akcija, brez premora!",2024-07-29
66,26,8,Odlična glasba in občutek igranja,2024-09-22
67,26,6,"Igra ima potencial, a je hroščata",2024-02-23
68,26,10,Izjemna avantura s čudovito grafiko,2024-03-28
69,27,9,"Zelo dober gameplay, a manjka globine",2024-07-05
70,27,8,"Fantastična zgodba, popoln zaključek",2024-09-13
71,27,7,"Temna, a zelo zadovoljiva izkušnja",2024-06-05
72,27,10,Adrenalinska vožnja kot nobena druga,2024-06-13
73,27,9,Zelo dobra za ljubitelje simulacij,2024-04-16
74,28,8,Mojstrovina! Igral bom še večkrat,2024-05-06
75,28,6,Mojstrovina! Igral bom še večkrat,2024-08-27
76,28,9,Pogrešam boljšo optimizacijo,2024-02-28
77,29,6,"Zelo dober gameplay, a manjka globine",2024-05-18
78,29,8,Epsko doživetje – priporočam!,2024-03-17
79,30,8,Igralno lepo uravnotežena,2024-09-16
80,30,6,Epsko doživetje – priporočam!,2024-07-25
81,30,7,Adrenalinska vožnja kot nobena druga,2024-01-11
82,31,10,Igralno lepo uravnotežena,2024-10-04
83,32,7,Pogrešam boljšo optimizacijo,2024-06-19
84,32,6,Zelo dobra za ljubitelje simulacij,2024-06-14
85,32,8,Mojstrovina! Igral bom še večkrat,2024-10-07
86,32,6,Odlična glasba in občutek igranja,2024-06-05
87,32,9,Igralno lepo uravnotežena,2024-01-25
88,33,9,"Temna, a zelo zadovoljiva izkušnja",2024-08-02
89,33,9,"Težko, a pošteno!",2024-09-18
90,33,8,"Fantastična zgodba, popoln zaključek",2024-03-17
91,34,9,Izjemna avantura s čudovito grafiko,2024-10-25
92,35,10,Mojstrovina! Igral bom še večkrat,2024-09-14
93,36,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-01-16
94,37,6,"Temna, a zelo zadovoljiva izkušnja",2024-08-21
95,37,10,Pogrešam boljšo optimizacijo,2024-10-14
96,38,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-08
97,38,8,Vrhunska fizika in svoboda,2024-03-01
98,38,9,Epsko doživetje – priporočam!,2024-07-17
99,38,9,"Igra ima potencial, a je hroščata",2024-09-13
100,38,6,Mojstrovina! Igral bom še večkrat,2024-04-04
101,39,7,Zelo dobra za ljubitelje simulacij,2024-07-15
102,39,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-30
103,39,6,Dober ambient in močan soundtrack,2024-10-19
104,39,9,Epsko doživetje – priporočam!,2024-08-11
105,39,10,Ni izstopalo,2024-10-18
106,40,10,"Temna, a zelo zadovoljiva izkušnja",2024-04-10
107,40,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-11
108,40,9,"Noro dobra akcija, brez premora!",2024-09-07
109,40,7,"Težko, a pošteno!",2024-10-08
110,40,7,Epsko doživetje – priporočam!,2024-09-04
111,41,10,"Zabavna, čeprav nekoliko kratka",2024-10-25
112,41,9,Igralno lepo uravnotežena,2024-05-26
113,42,10,Adrenalinska vožnja kot nobena druga,2024-01-23
114,42,8,Zabavno za več igralcev,2024-08-19
115,43,7,"Noro dobra akcija, brez premora!",2024-06-10
116,43,6,Igralno lepo uravnotežena,2024-02-04
117,43,6,Epsko doživetje – priporočam!,2024-03-04
118,44,10,Epsko doživetje – priporočam!,2024-06-13
119,44,8,Dober ambient in močan soundtrack,2024-09-29
120,44,10,Pogrešam boljšo optimizacijo,2024-07-21
121,44,6,Zelo dobra za ljubitelje simulacij,2024-08-10
122,44,7,"Težko, a pošteno!",2024-04-24
123,45,8,"Težko, a pošteno!",2024-02-23
124,45,8,Vrhunska fizika in svoboda,2024-09-02
125,45,8,Vrhunska fizika in svoboda,2024-04-10
126,45,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-04-16
127,45,9,"Zelo dober gameplay, a manjka globine",2024-05-06
128,46,9,"Noro dobra akcija, brez premora!",2024-07-08
129,46,10,Mojstrovina! Igral bom še večkrat,2024-06-07
130,46,6,Igralno lepo uravnotežena,2024-07-16
131,47,7,Ni izstopalo,2024-01-27
132,47,8,Dober ambient in močan soundtrack,2024-07-24
133,47,6,Zabavno za več igralcev,2024-06-01
134,47,7,Dober ambient in močan soundtrack,2024-07-19
135,48,7,"Noro dobra akcija, brez premora!",2024-07-02
136,48,9,Zelo dobra za ljubitelje simulacij,2024-03-23
137,48,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-05-24
138,48,7,"Noro dobra akcija, brez premora!",2024-05-23
139,48,7,"Zelo dober gameplay, a manjka globine",2024-09-12
140,49,10,"Fantastična zgodba, popoln zaključek",2024-08-23
141,49,10,"Igra ima potencial, a je hroščata",2024-10-04
142,49,8,"Noro dobra akcija, brez premora!",2024-09-30
143,50,10,Igralno lepo uravnotežena,2024-03-14
144,50,10,"Noro dobra akcija, brez premora!",2024-04-07
145,50,8,Epsko doživetje – priporočam!,2024-01-01
146,51,10,Izjemna avantura s čudovito grafiko,2024-09-11
147,51,6,"Težko, a pošteno!",2024-05-13
148,52,10,"Noro dobra akcija, brez premora!",2024-10-13
149,52,7,Izjemna avantura s čudovito grafiko,2024-07-22
150,52,7,"Igra ima potencial, a je hroščata",2024-04-24
151,52,10,"Zabavna, čeprav nekoliko kratka",2024-08-26
152,52,8,Pogrešam boljšo optimizacijo,2024-07-04
153,53,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-04-10
154,53,6,"Temna, a zelo zadovoljiva izkušnja",2024-06-16
155,53,6,"Zabavna, čeprav nekoliko kratka",2024-02-15
156,53,10,Epsko doživetje – priporočam!,2024-03-06
157,54,7,"Igra ima potencial, a je hroščata",2024-06-08
158,54,8,Igralno lepo uravnotežena,2024-10-06
159,55,7,Igralno lepo uravnotežena,2024-05-05
160,55,9,"Zelo dober gameplay, a manjka globine",2024-10-24
161,55,7,"Zelo dober gameplay, a manjka globine",2024-07-01
162,56,7,Izjemna avantura s čudovito grafiko,2024-06-23
163,56,7,"Temna, a zelo zadovoljiva izkušnja",2024-09-09
164,56,10,Izjemna avantura s čudovito grafiko,2024-07-28
165,56,6,"Fantastična zgodba, popoln zaključek",2024-07-31
166,57,9,Mojstrovina! Igral bom še večkrat,2024-10-15
167,57,9,Vrhunska fizika in svoboda,2024-05-29
168,57,8,Igralno lepo uravnotežena,2024-04-24
169,58,8,"Noro dobra akcija, brez premora!",2024-04-27
170,59,10,Dober ambient in močan soundtrack,2024-05-16
171,59,8,Ni izstopalo,2024-05-26
172,59,9,Izjemna avantura s čudovito grafiko,2024-10-17
173,59,10,"Temna, a zelo zadovoljiva izkušnja",2024-04-16
174,60,8,Epsko doživetje – priporočam!,2024-03-21
175,61,7,Vrhunska fizika in svoboda,2024-03-25
176,62,6,"Težko, a pošteno!",2024-01-11
177,62,10,Dober ambient in močan soundtrack,2024-09-09
178,62,7,Adrenalinska vožnja kot nobena druga,2024-02-28
179,62,7,Pogrešam boljšo optimizacijo,2024-04-06
180,62,6,Pogrešam boljšo optimizacijo,2024-04-17
181,63,6,"Temna, a zelo zadovoljiva izkušnja",2024-08-10
182,63,9,"Težko, a pošteno!",2024-07-24
183,63,7,Igralno lepo uravnotežena,2024-08-30
184,64,6,Pogrešam boljšo optimizacijo,2024-08-18
185,65,9,"Temna, a zelo zadovoljiva izkušnja",2024-08-07
186,65,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-09-14
187,65,8,Ni izstopalo,2024-02-18
188,65,8,"Težko, a pošteno!",2024-09-23
189,66,7,Zabavno za več igralcev,2024-07-21
190,67,10,Vrhunska fizika in svoboda,2024-06-15
191,67,8,Zabavno za več igralcev,2024-04-05
192,68,9,"Temna, a zelo zadovoljiva izkušnja",2024-09-06
193,69,7,"Preveč ponavljajoče, hitro postane dolgočasno",2024-05-03
194,69,6,"Fantastična zgodba, popoln zaključek",2024-07-10
195,69,8,Igralno lepo uravnotežena,2024-10-16
196,69,8,Pogrešam boljšo optimizacijo,2024-06-24
197,70,9,Adrenalinska vožnja kot nobena druga,2024-02-11
198,70,6,"Noro dobra akcija, brez premora!",2024-02-15
199,70,7,Izjemna avantura s čudovito grafiko,2024-07-14
200,71,7,"Zelo dober gameplay, a manjka globine",2024-06-11
201,71,9,"Težko, a pošteno!",2024-06-28
202,71,9,Igralno lepo uravnotežena,2024-04-14
203,71,7,"Igra ima potencial, a je hroščata",2024-10-09
204,71,6,Zabavno za več igralcev,2024-06-09
205,72,7,"Igra ima potencial, a je hroščata",2024-03-10
206,72,8,Ni izstopalo,2024-01-13
207,73,8,Izjemna avantura s čudovito grafiko,2024-04-21
208,73,8,Epsko doživetje – priporočam!,2024-08-15
209,73,7,Zelo dobra za ljubitelje simulacij,2024-09-10
210,73,9,Mojstrovina! Igral bom še večkrat,2024-09-06
211,74,10,"Fantastična zgodba, popoln zaključek",2024-06-03
212,74,8,"Temna, a zelo zadovoljiva izkušnja",2024-07-10
213,75,8,Igralno lepo uravnotežena,2024-07-10
214,75,8,Igralno lepo uravnotežena,2024-03-11
215,75,6,"Zabavna, čeprav nekoliko kratka",2024-08-03
216,75,10,Ni izstopalo,2024-06-04
217,76,6,Mojstrovina! Igral bom še večkrat,2024-08-12
218,76,7,"Preveč ponavljajoče, hitro postane dolgočasno",2024-07-20
219,77,9,Zelo dobra za ljubitelje simulacij,2024-03-02
220,77,9,Izjemna avantura s čudovito grafiko,2024-09-02
221,77,8,"Težko, a pošteno!",2024-01-03
222,77,10,Vrhunska fizika in svoboda,2024-08-29
223,77,6,"Zabavna, čeprav nekoliko kratka",2024-03-15
224,78,7,Vrhunska fizika in svoboda,2024-03-21
225,78,9,Zabavno za več igralcev,2024-03-22
226,78,8,Zabavno za več igralcev,2024-02-21
227,78,8,Odlična glasba in občutek igranja,2024-01-31
228,78,7,Mojstrovina! Igral bom še večkrat,2024-09-04
229,79,10,Epsko doživetje – priporočam!,2024-08-04
230,79,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-03-12
231,80,8,"Težko, a pošteno!",2024-03-17
232,80,6,"Temna, a zelo zadovoljiva izkušnja",2024-04-24
233,80,9,Igralno lepo uravnotežena,2024-08-19
234,81,6,Izjemna avantura s čudovito grafiko,2024-03-02
235,82,7,Dober ambient in močan soundtrack,2024-05-17
236,82,10,"Temna, a zelo zadovoljiva izkušnja",2024-10-11
237,82,6,Odlična glasba in občutek igranja,2024-07-20
238,82,8,"Igra ima potencial, a je hroščata",2024-07-31
239,82,7,Igralno lepo uravnotežena,2024-02-22
240,83,8,Adrenalinska vožnja kot nobena druga,2024-09-03
241,83,10,"Preveč ponavljajoče, hitro postane dolgočasno",2024-03-03
242,83,9,Epsko doživetje – priporočam!,2024-02-17
243,83,6,Igralno lepo uravnotežena,2024-01-11
244,84,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-01-04
245,84,10,Pogrešam boljšo optimizacijo,2024-08-04
246,84,10,Pogrešam boljšo optimizacijo,2024-05-28
247,84,7,"Noro dobra akcija, brez premora!",2024-04-22
248,85,8,"Fantastična zgodba, popoln zaključek",2024-08-30
249,85,10,Vrhunska fizika in svoboda,2024-01-27
250,85,7,Pogrešam boljšo optimizacijo,2024-09-27
251,85,8,"Igra ima potencial, a je hroščata",2024-08-04
252,85,7,"Težko, a pošteno!",2024-07-27
253,86,8,"Temna, a zelo zadovoljiva izkušnja",2024-03-20
254,86,6,Epsko doživetje – priporočam!,2024-10-18
255,87,8,"Temna, a zelo zadovoljiva izkušnja",2024-01-19
256,87,7,Vrhunska fizika in svoboda,2024-03-03
257,88,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-04-12
258,88,7,Odlična glasba in občutek igranja,2024-02-17
259,89,8,Vrhunska fizika in svoboda,2024-07-27
260,89,8,Mojstrovina! Igral bom še večkrat,2024-08-02
261,89,8,Zelo dobra za ljubitelje simulacij,2024-10-08
262,89,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-01-30
263,90,8,Izjemna avantura s čudovito grafiko,2024-01-13
264,91,6,Ni izstopalo,2024-10-08
265,91,10,Ni izstopalo,2024-01-13
266,91,6,Zelo dobra za ljubitelje simulacij,2024-02-11
267,91,6,Dober ambient in močan soundtrack,2024-07-08
268,92,8,Ni izstopalo,2024-10-26
269,92,10,"Noro dobra akcija, brez premora!",2024-01-16
270,92,7,Adrenalinska vožnja kot nobena druga,2024-10-09
271,92,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-10-04
272,92,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-04-24
273,93,10,Izjemna avantura s čudovito grafiko,2024-01-21
274,93,10,Pogrešam boljšo optimizacijo,2024-01-08
275,93,6,Igralno lepo uravnotežena,2024-09-15
276,93,6,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-22
277,93,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-07-07
278,94,7,Mojstrovina! Igral bom še večkrat,2024-08-06
279,94,7,Izjemna avantura s čudovito grafiko,2024-09-09
280,94,6,Dober ambient in močan soundtrack,2024-09-17
281,94,10,Zelo dobra za ljubitelje simulacij,2024-08-31
282,95,7,Epsko doživetje – priporočam!,2024-09-07
283,95,8,Ni izstopalo,2024-08-10
284,95,7,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-05
285,95,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-01-18
286,96,8,Odlična glasba in občutek igranja,2024-07-19
287,96,10,Adrenalinska vožnja kot nobena druga,2024-08-02
288,96,6,Dober ambient in močan soundtrack,2024-09-21
289,96,8,"Zabavna, čeprav nekoliko kratka",2024-08-28
290,97,9,Igralno lepo uravnotežena,2024-06-11
291,97,10,Izjemna avantura s čudovito grafiko,2024-03-28
292,97,7,Zabavno za več igralcev,2024-04-26
293,97,7,Izjemna avantura s čudovito grafiko,2024-02-06
294,98,9,Mojstrovina! Igral bom še večkrat,2024-07-15
295,98,9,Epsko doživetje – priporočam!,2024-01-03
296,99,10,Zelo dobra za ljubitelje simulacij,2024-09-09
297,99,6,Mojstrovina! Igral bom še večkrat,2024-01-22
298,100,8,"Zabavna, čeprav nekoliko kratka",2024-08-23
299,100,9,Zabavno za več igralcev,2024-09-22
300,100,6,Zabavno za več igralcev,2024-08-10
301,100,10,Ni izstopalo,2024-05-19
302,100,7,Dober ambient in močan soundtrack,2024-08-25
303,101,7,Zelo dobra za ljubitelje simulacij,2024-08-17
304,101,10,Zabavno za več igralcev,2024-08-15
305,102,9,Dober ambient in močan soundtrack,2024-08-22
306,103,6,Zabavno za več igralcev,2024-05-16
307,103,8,Dober ambient in močan soundtrack,2024-08-28
308,103,10,Igralno lepo uravnotežena,2024-09-26
309,104,7,"Temna, a zelo zadovoljiva izkušnja",2024-06-15
310,105,8,Dober ambient in močan soundtrack,2024-03-06
311,106,7,Pogrešam boljšo optimizacijo,2024-01-20
312,106,9,Igralno lepo uravnotežena,2024-05-26
313,107,9,Mojstrovina! Igral bom še večkrat,2024-09-27
314,107,6,Zelo dobra za ljubitelje simulacij,2024-07-25
315,107,10,"Fantastična zgodba, popoln zaključek",2024-08-26
316,108,8,Mojstrovina! Igral bom še večkrat,2024-07-11
317,108,10,"Zabavna, čeprav nekoliko kratka",2024-03-30
318,108,7,Igralno lepo uravnotežena,2024-01-07
319,109,6,Zelo dobra za ljubitelje simulacij,2024-05-12
320,109,7,Dober ambient in močan soundtrack,2024-04-13
321,110,7,"Težko, a pošteno!",2024-06-17
322,110,7,Igralno lepo uravnotežena,2024-09-15
323,110,6,Odlična glasba in občutek igranja,2024-02-04
324,110,6,Ni izstopalo,2024-02-13
325,110,7,Pogrešam boljšo optimizacijo,2024-08-05
326,111,10,Pogrešam boljšo optimizacijo,2024-06-02
327,112,8,"Noro dobra akcija, brez premora!",2024-02-09
328,112,6,Vrhunska fizika in svoboda,2024-01-08
329,112,6,Adrenalinska vožnja kot nobena druga,2024-06-14
330,112,9,Pogrešam boljšo optimizacijo,2024-08-17
331,113,6,Epsko doživetje – priporočam!,2024-01-22
332,114,9,Vrhunska fizika in svoboda,2024-02-18
333,114,8,Zelo dobra za ljubitelje simulacij,2024-09-27
334,114,8,Zabavno za več igralcev,2024-03-29
335,114,7,Izjemna avantura s čudovito grafiko,2024-03-14
336,114,6,"Temna, a zelo zadovoljiva izkušnja",2024-09-15
337,115,7,Odlična glasba in občutek igranja,2024-07-25
338,115,10,Dober ambient in močan soundtrack,2024-01-31
339,115,7,Izjemna avantura s čudovito grafiko,2024-06-07
340,115,6,"Noro dobra akcija, brez premora!",2024-05-08
341,115,10,Pogrešam boljšo optimizacijo,2024-07-25
342,116,10,"Temna, a zelo zadovoljiva izkušnja",2024-04-05
343,116,9,Igralno lepo uravnotežena,2024-01-28
344,116,6,"Igra ima potencial, a je hroščata",2024-09-05
345,116,8,Zabavno za več igralcev,2024-01-05
346,117,9,Adrenalinska vožnja kot nobena druga,2024-06-10
347,117,6,Igralno lepo uravnotežena,2024-09-05
348,117,10,"Zelo dober gameplay, a manjka globine",2024-04-14
349,118,10,"Težko, a pošteno!",2024-02-24
350,119,9,Adrenalinska vožnja kot nobena druga,2024-04-02
351,120,9,"Zabavna, čeprav nekoliko kratka",2024-04-15
352,120,6,Dober ambient in močan soundtrack,2024-03-23
353,121,6,Odlična glasba in občutek igranja,2024-10-03
354,121,6,Zelo dobra za ljubitelje simulacij,2024-01-18
355,121,6,Igralno lepo uravnotežena,2024-07-03
356,121,6,"Zelo dober gameplay, a manjka globine",2024-09-06
357,121,10,Odlična glasba in občutek igranja,2024-10-10
358,122,8,Zelo dobra za ljubitelje simulacij,2024-10-19
359,122,8,"Temna, a zelo zadovoljiva izkušnja",2024-06-04
360,122,6,Pogrešam boljšo optimizacijo,2024-05-07
361,122,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-06-29
362,123,10,"Zabavna, čeprav nekoliko kratka",2024-10-24
363,123,8,"Igra ima potencial, a je hroščata",2024-10-12
364,123,10,Dober ambient in močan soundtrack,2024-03-12
365,123,10,Zabavno za več igralcev,2024-08-04
366,123,7,Pogrešam boljšo optimizacijo,2024-09-09
367,124,10,Zabavno za več igralcev,2024-10-07
368,125,10,"Fantastična zgodba, popoln zaključek",2024-07-28
369,125,9,Igralno lepo uravnotežena,2024-02-09
370,125,6,"Noro dobra akcija, brez premora!",2024-05-31
371,125,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-09-21
372,126,8,Pogrešam boljšo optimizacijo,2024-08-09
373,126,8,Mojstrovina! Igral bom še večkrat,2024-05-27
374,127,7,Ni izstopalo,2024-08-05
375,127,8,Igralno lepo uravnotežena,2024-01-06
376,128,6,"Igra ima potencial, a je hroščata",2024-01-08
377,128,9,Zelo dobra za ljubitelje simulacij,2024-08-02
378,128,9,"Noro dobra akcija, brez premora!",2024-01-04
379,128,7,Mojstrovina! Igral bom še večkrat,2024-03-07
380,129,7,"Zelo dober gameplay, a manjka globine",2024-06-25
381,129,7,Vrhunska fizika in svoboda,2024-08-10
382,130,8,Izjemna avantura s čudovito grafiko,2024-06-30
383,130,8,Izjemna avantura s čudovito grafiko,2024-05-26
384,130,6,Pogrešam boljšo optimizacijo,2024-07-13
385,130,10,Epsko doživetje – priporočam!,2024-07-05
386,131,7,Vrhunska fizika in svoboda,2024-03-15
387,131,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-10-02
388,131,7,Igralno lepo uravnotežena,2024-08-17
389,131,10,"Preveč ponavljajoče, hitro postane dolgočasno",2024-09-23
390,132,6,"Igra ima potencial, a je hroščata",2024-09-03
391,132,7,"Fantastična zgodba, popoln zaključek",2024-06-26
392,132,7,"Fantastična zgodba, popoln zaključek",2024-09-17
393,132,6,"Težko, a pošteno!",2024-07-14
394,133,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-31
395,133,10,"Težko, a pošteno!",2024-09-10
396,133,8,Odlična glasba in občutek igranja,2024-03-19
397,133,10,Zabavno za več igralcev,2024-09-01
398,134,9,Dober ambient in močan soundtrack,2024-04-06
399,134,6,Zabavno za več igralcev,2024-05-04
400,134,10,Igralno lepo uravnotežena,2024-04-22
401,135,9,"Temna, a zelo zadovoljiva izkušnja",2024-02-18
402,135,7,Ni izstopalo,2024-05-09
403,135,10,Adrenalinska vožnja kot nobena druga,2024-03-16
404,135,9,Zabavno za več igralcev,2024-06-22
405,135,6,Zelo dobra za ljubitelje simulacij,2024-09-23
406,136,8,Epsko doživetje – priporočam!,2024-01-11
407,136,10,Zabavno za več igralcev,2024-05-11
408,136,7,"Težko, a pošteno!",2024-03-03
409,137,6,Izjemna avantura s čudovito grafiko,2024-09-10
410,137,7,Izjemna avantura s čudovito grafiko,2024-10-16
411,137,10,Igralno lepo uravnotežena,2024-02-26
412,137,7,"Temna, a zelo zadovoljiva izkušnja",2024-06-24
413,138,7,Vrhunska fizika in svoboda,2024-03-05
414,138,8,"Noro dobra akcija, brez premora!",2024-05-30
415,138,10,"Temna, a zelo zadovoljiva izkušnja",2024-01-03
416,138,9,Adrenalinska vožnja kot nobena druga,2024-09-03
417,138,9,Epsko doživetje – priporočam!,2024-02-01
418,139,6,Izjemna avantura s čudovito grafiko,2024-02-27
419,139,9,"Preveč ponavljajoče, hitro postane dolgočasno",2024-08-29
420,139,9,"Fantastična zgodba, popoln zaključek",2024-09-15
421,140,6,Epsko doživetje – priporočam!,2024-05-17
422,140,8,"Preveč ponavljajoče, hitro postane dolgočasno",2024-01-08
423,141,9,Epsko doživetje – priporočam!,2024-05-28
424,141,7,Odlična glasba in občutek igranja,2024-05-15
425,141,10,Epsko doživetje – priporočam!,2024-01-29
426,142,6,"Fantastična zgodba, popoln zaključek",2024-09-26
427,142,8,Izjemna avantura s čudovito grafiko,2024-08-01
428,142,9,Epsko doživetje – priporočam!,2024-05-21
429,142,7,"Zelo dober gameplay, a manjka globine",2024-02-04
430,142,10,Epsko doživetje – priporočam!,2024-09-30
431,143,7,Zabavno za več igralcev,2024-10-02
432,143,6,Odlična glasba in občutek igranja,2024-03-06
433,143,8,"Težko, a pošteno!",2024-01-13
434,144,7,Pogrešam boljšo optimizacijo,2024-05-13
435,144,7,Adrenalinska vožnja kot nobena druga,2024-08-29
436,144,10,Ni izstopalo,2024-07-10
437,144,9,Odlična glasba in občutek igranja,2024-06-03
438,145,10,"Zabavna, čeprav nekoliko kratka",2024-08-26
439,145,7,Pogrešam boljšo optimizacijo,2024-09-24
440,146,10,"Preveč ponavljajoče, hitro postane dolgočasno",2024-02-06
441,146,8,"Zelo dober gameplay, a manjka globine",2024-07-14
442,146,8,Odlična glasba in občutek igranja,2024-02-05
443,146,10,Mojstrovina! Igral bom še večkrat,2024-10-23
444,147,6,Ni izstopalo,2024-10-20
445,148,6,"Zabavna, čeprav nekoliko kratka",2024-03-17
446,148,9,"Temna, a zelo zadovoljiva izkušnja",2024-07-19
447,148,8,"Noro dobra akcija, brez premora!",2024-02-08
448,149,8,"Zelo dober gameplay, a manjka globine",2024-02-23
449,149,10,"Zelo dober gameplay, a manjka globine",2024-05-29
450,149,9,"Zelo dober gameplay, a manjka globine",2024-09-02
451,149,8,Ni izstopalo,2024-02-19
452,149,7,"Igra ima potencial, a je hroščata",2024-07-18
453,150,9,"Temna, a zelo zadovoljiva izkušnja",2024-03-16
454,150,8,Igralno lepo uravnotežena,2024-03-27
455,150,10,Ni izstopalo,2024-09-30
456,150,6,Adrenalinska vožnja kot nobena druga,2024-06-19
457,151,7,Zabavno za več igralcev,2024-06-08
458,152,6,Ni izstopalo,2024-04-13
459,152,9,Igralno lepo uravnotežena,2024-08-19
460,152,7,"Preveč ponavljajoče, hitro postane dolgočasno",2024-02-18
461,152,9,"Noro dobra akcija, brez premora!",2024-04-14
462,152,7,Pogrešam boljšo optimizacijo,2024-08-21
463,153,7,"Zabavna, čeprav nekoliko kratka",2024-08-01
464,153,7,Mojstrovina! Igral bom še večkrat,2024-09-27
